id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,0.395481149554216,0.394757609387919,0.394007238870946,0.393311833377445
3,0.03,0.395898090534921,0.395084367146659,0.395089145511642,0.395182466978729
4,0.04,0.393379354164683,0.394704403811973,0.394877385175312,0.394745430446074
5,0.05,0.396440134405962,0.396459797578227,0.396479570770524,0.396505521121878
6,0.06,0.406270416909095,0.405593603159989,0.40509438238439,0.404344570540925
7,0.07,0.433912932186846,0.41283819991344,0.404195727914011,0.397005000813093
8,0.08,0.467667737543453,0.446629762184658,0.432449764572491,0.417447949282264
9,0.09,0.552149005473708,0.500505884605976,0.472323015529791,0.440682456001473
10,0.1,0.75844613611251,0.672655795495679,0.625113075103196,0.56309332501138
11,0.11,0.719270125103326,0.657833756987665,0.614006164472865,0.555941604188158
12,0.12,0.855941080126534,0.755252532367936,0.715242663718068,0.653169750264429
13,0.13,0.981084437345491,0.887379865282297,0.819846944414186,0.726721319401681
14,0.14,1.23028112807273,0.928971356746904,0.768328096640745,0.679017729723372
15,0.15,1.13332047539613,0.949366517469684,0.824754069063223,0.683898838718529
16,0.16,1.14775181821259,0.942338301127352,0.811080346248654,0.675431254256664
17,0.17,1.26333849087149,1.00061772107149,0.83259438571572,0.691996256692929
18,0.18,1.23330747082664,1.0456287739285,0.911225210828718,0.737557254925807
19,0.19,1.30183787802221,1.12835365590337,1.00354290560508,0.843593396786205
20,0.2,1.23680211686275,1.03597865799944,0.920764248557287,0.777208854278685
21,0.21,0.963944503394716,0.898489335646293,0.872409727714179,0.82467543715164
22,0.22,1.32690161502618,1.10217278687037,1.01149538981618,0.923206879544247
23,0.23,1.46341393250705,1.2918178525341,1.15303206127596,1.00815801777678
24,0.24,1.51150752144677,1.31492723739192,1.20428304769489,1.03742541212394
25,0.25,1.72055020332782,1.32027943257059,1.18938232224438,1.00912597583043
26,0.26,2.07074445232449,1.44062125458291,1.13071735095061,0.90334475874459
27,0.27,1.83711319157416,1.42347025489283,1.15552759451022,0.9065346638518
28,0.28,1.51019276026887,1.27142555143625,1.10935656545981,0.889064156869493
29,0.29,1.58683936320538,1.30989195417393,1.09567533658297,0.860088145229519
30,0.3,1.51468182983262,1.21674861376324,1.03113654752616,0.851943971954701
31,0.31,1.09090464054997,0.948031113220525,0.897721676156554,0.822753954261992
32,0.32,1.41504639019982,1.16758956229349,1.04831793617961,0.922900808306303
33,0.33,1.62266568730344,1.40399058739834,1.2698302344977,1.06162803666942
34,0.34,2.20509755204767,1.76385066156236,1.48460647585467,1.14533139221039
35,0.35,1.90904652239799,1.57026132470036,1.35640923963144,1.08982681280328
36,0.36,1.26396019420041,1.0494363778577,1.0471835180475,0.975861696952192
37,0.37,1.11022299301642,1.07378171225384,1.03893410607938,0.935486685506861
38,0.38,1.6682785718336,1.37435270969211,1.17987332101819,0.93306988386823
39,0.39,1.72039766160357,1.35225281050366,1.11955824611412,0.878781421684227
40,0.4,1.39435700379226,1.21762350576302,1.07528199523296,0.862576628577525
41,0.41,1.38269608641216,1.19411104940953,1.05243432913366,0.841824113135965
42,0.42,1.33972247970824,1.14618439537779,0.991451941789188,0.784958272602977
43,0.43,1.31319519820535,1.09678885373831,0.957501927879304,0.757309970278701
44,0.44,1.56838962113462,1.22598329978678,0.995287912241708,0.765627508028175
45,0.45,1.55564976273746,1.29361263572218,1.10689167656357,0.871730269107285
46,0.46,1.59946993213412,1.36273075733952,1.18140409855404,0.931699085807344
47,0.47,1.54042839956939,1.33976275044467,1.17659955555024,0.939283272800667
48,0.48,1.44484549779505,1.26012043179593,1.11668170979288,0.904600726685788
49,0.49,1.28006579125061,1.12819151597078,1.01370990373489,0.840885263691346
50,0.5,1.04239364506685,0.959814903834371,0.885444426038956,0.761887454476132
51,0.51,0.837603331651545,0.81230086409386,0.771954844443636,0.685349859423608
52,0.52,0.756080240837267,0.730831017913116,0.696479125392385,0.656965673485603
53,0.53,0.752848063259598,0.702313665732156,0.697242651549874,0.662107406408091
54,0.54,0.779047775783293,0.763376957429006,0.741837985481902,0.683961262013682
55,0.55,0.904099119238423,0.85529893741441,0.807341493391164,0.717541568400193
56,0.56,1.04811815452267,0.957571862060537,0.881205012742337,0.754701074177077
57,0.57,1.17931790140088,1.05097653410928,0.945339722230597,0.786738350964245
58,0.58,1.26800842529614,1.11323974143058,0.989765843371911,0.80549669684864
59,0.59,1.29592495609884,1.13387954350953,1.00409345964038,0.809794321536937
60,0.6,1.27097717345623,1.11755133446838,0.991440647798211,0.7986077960894
61,0.61,1.2193260084857,1.0789373275253,0.961604387204391,0.777002760832914
62,0.62,1.15743429755176,1.03027677038416,0.922628047501613,0.7490327493797
63,0.63,1.09228596843259,0.977523391207409,0.87887735919952,0.738277913567139
64,0.64,1.02564835047056,0.923226817309171,0.832965774164614,0.7344700916153
65,0.65,1.02020746907628,0.901219632458395,0.7999436344484,0.72941741225837
66,0.66,1.0310825067229,0.923933402926807,0.830151683173587,0.723984251005723
67,0.67,1.04796755651863,0.948017449648231,0.858208740055573,0.719964399887523
68,0.68,1.0725209196308,0.97299569796104,0.883556578222054,0.734894210035511
69,0.69,1.10484199412497,0.99834263122408,0.904093500588766,0.751772215562681
70,0.7,1.13716137501132,1.02002145477259,0.919059128052083,0.758955078474458
71,0.71,1.16064377003996,1.03096670564687,0.922647173379312,0.756455014424735
72,0.72,1.16641820358851,1.02523879890867,0.910586304610901,0.741917078717298
73,0.73,1.14743609730743,0.998466749728766,0.881793463282372,0.722748486932144
