id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
500,12,11,2,1209,158,900,1491,158,900,95
501,12,2,2,0,158,900,9,158,900,0
502,12,2,2,300,158,900,309,158,900,0
503,12,2,2,600,158,900,609,158,900,0
504,12,2,2,900,158,900,909,158,900,0
505,12,2,2,1200,158,900,1209,158,900,0
506,12,2,2,291,158,900,300,158,900,0
507,12,2,2,597,158,900,600,158,900,0
508,12,2,2,891,158,900,900,158,900,0
509,12,2,2,1191,158,900,1200,158,900,0
510,12,2,2,1491,158,900,1500,158,900,0
511,12,15,1,-71,0,450,-71,162,450,0
512,12,15,1,1571,0,450,1571,162,450,0
