id,story_group_id,element_group_id,description,direction,x_start,z_start,offset_start,offset_end,trib_wt
1,1,1,1st story wall line B,x,0,0,0,0,1
2,2,2,2nd Story East Wall,x,0,0,0,0,1
3,3,3,Upper Stories East Wall,x,0,0,0,0,1
