id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,7.01398069130397,7.01314682026894,7.01233665727224,7.01127608143018
3,0.03,7.01383594636239,7.01297949476482,7.01232231661527,7.01149217263688
4,0.04,7.01016279684155,7.00958654802448,7.00933050850019,7.00907786633934
5,0.05,7.01195440540151,7.01064849133988,7.01011822890735,7.00969984371274
6,0.06,7.00977193963729,7.00962253824836,7.00957698949514,7.00953947599888
7,0.07,7.02744924687868,7.02028809324303,7.01744805214061,7.01503003042904
8,0.08,7.03864824090926,7.02644522239112,7.0275109852066,7.02520243842298
9,0.09,7.05245452432635,7.04464934889063,7.04066084977142,7.03538931854442
10,0.1,7.07695914116372,7.08455262459809,7.08152205414223,7.06988417704162
11,0.11,7.23728303522364,7.16491319830284,7.12202677607493,7.08287538229234
12,0.12,7.10886511043535,7.11888166007217,7.11309183294276,7.09666755618044
13,0.13,7.13607704393962,7.14302512990225,7.13963524876337,7.13187577848141
14,0.14,7.2544616644212,7.17791849146776,7.15770226835389,7.14406843108495
15,0.15,7.17723974305644,7.15321975164098,7.14468360896426,7.13472247914519
16,0.16,7.25759658756885,7.19324339152475,7.16240525156817,7.1356995447349
17,0.17,7.14568784915042,7.08062816002402,7.07283091470892,7.0966908845371
18,0.18,7.31163627452835,7.23204043843251,7.19613789150726,7.16080980433809
19,0.19,7.38209131660263,7.28293502775992,7.23437452235549,7.18716627888578
20,0.2,7.16483091820051,7.16496506909351,7.16111751386528,7.15345821531714
21,0.21,7.11102393659797,7.09349176600984,7.09509921181613,7.11178309396057
22,0.22,7.28183256747564,7.17566980559003,7.14573501206878,7.13926167269095
23,0.23,7.37625650994206,7.28440240034962,7.24117612758562,7.19999509398939
24,0.24,7.22557766556273,7.20683346061531,7.19610246651315,7.19188183136601
25,0.25,7.17708392627234,7.10277383987728,7.14839943545404,7.20134475435671
26,0.26,7.509245918821,7.42174257717302,7.3664600472275,7.31338696347534
27,0.27,7.4412777153859,7.47923415928287,7.47393176829254,7.41644290323267
28,0.28,8.13326619613026,7.87386796388544,7.70421260526768,7.51289750416919
29,0.29,7.98652860594582,7.76445778190361,7.63316931339659,7.48182068839716
30,0.3,7.37188871893015,7.37820176925208,7.38281975049971,7.3744260222984
31,0.31,7.29496711323909,7.31286631965262,7.32622569379275,7.32738871318561
32,0.32,7.51477373239074,7.41545506177514,7.36001407732897,7.31136216335382
33,0.33,7.28405005321811,7.2526835349881,7.25021197680525,7.26248946707365
34,0.34,7.0759744777676,7.12844205814095,7.18970896642127,7.24886307723592
35,0.35,7.40419272691899,7.35280785540397,7.32654792203052,7.30748210139458
36,0.36,7.5507903735697,7.48208684195348,7.43419943370073,7.37556727819327
37,0.37,7.53455268522925,7.51635397778972,7.48779137732816,7.42373777926446
38,0.38,7.70100358127391,7.62421465323973,7.5608299677329,7.46252069402857
39,0.39,7.89972720369192,7.71606692381556,7.60925709289039,7.47775072404005
40,0.4,7.58895899099121,7.59412587361374,7.55658721920976,7.46073900272141
41,0.41,7.69773318274204,7.61028857408833,7.54487121355219,7.43823610793058
42,0.42,7.68430539763628,7.59559201269339,7.52521611267539,7.40892204582379
43,0.43,7.60361832170676,7.57025069815835,7.50535785487908,7.37101605454869
44,0.44,7.87618163989147,7.66723834720669,7.51871410968317,7.31953348245972
45,0.45,7.95734187680473,7.66731305956646,7.46916204545215,7.23069697796733
46,0.46,7.98774269974793,7.75131770044468,7.56406568021245,7.29927280502686
47,0.47,8.11897600478793,7.86205417025575,7.65747300548375,7.36112427865976
48,0.48,8.25152581547419,7.93444957415748,7.70055711915843,7.38758811225937
49,0.49,8.25030229058824,7.91096380974528,7.67794180887606,7.38125850672932
50,0.5,8.0720077751598,7.79555428712172,7.60461340687408,7.36128286513359
51,0.51,7.79537729292762,7.63630004005737,7.51634833052806,7.34543553621031
52,0.52,7.53606031549599,7.49118758564127,7.4380672166012,7.33325107957053
53,0.53,7.42692416014538,7.41929560233839,7.39316391973827,7.32603802973745
54,0.54,7.44266933451132,7.41117330695191,7.38139540858707,7.32321205222626
55,0.55,7.45332158655469,7.4118825967693,7.37786260674599,7.32213467043738
56,0.56,7.43749541271296,7.40013048736312,7.36809936417929,7.31772153311621
57,0.57,7.41466108908974,7.3778275599671,7.34921329304831,7.30889229638514
58,0.58,7.36863725048984,7.33839682538267,7.31947225133513,7.29539779140907
59,0.59,7.27969924086546,7.27926023267866,7.28151922803631,7.28191501659639
60,0.6,7.18532427375911,7.22828744466665,7.25443695044924,7.27536700556292
61,0.61,7.19014692071414,7.23357497613589,7.25978014365243,7.28196391618116
62,0.62,7.28971731314096,7.29122940831492,7.29632553603951,7.30142969897899
63,0.63,7.37616126463107,7.35297279420828,7.34134989908163,7.3282679788003
64,0.64,7.4138166881516,7.39439200523746,7.38027426659942,7.35704850767083
65,0.65,7.43256722044915,7.42832625673095,7.41544292506905,7.38558774344338
66,0.66,7.48892213401099,7.47778180438574,7.45817915118088,7.41491547727144
67,0.67,7.59636874694142,7.54779003472873,7.50609330223676,7.44121368702132
68,0.68,7.70611154239331,7.61179073170031,7.54591448859328,7.46116214479129
69,0.69,7.76020491578466,7.63673272367317,7.55753784502374,7.46774747983022
70,0.7,7.71725936224012,7.59693151082063,7.52736426004867,7.45892463659104
71,0.71,7.56232316259895,7.48766266753301,7.45892736720206,7.44023713905907
72,0.72,7.31212936430364,7.33579206048357,7.37604951715447,7.42481467110655
73,0.73,7.05561911862312,7.22466802103765,7.33291462457307,7.43093238713338
74,0.74,7.2168468937553,7.30265034350622,7.39040979860541,7.47391427606079
75,0.75,7.59058235846096,7.54086587644559,7.54368623707512,7.55294286887968
76,0.76,7.95331930527484,7.81310712591512,7.73847836446617,7.6563138265623
77,0.77,8.27307938652734,8.06744935088388,7.93335196023768,7.7678765746166
78,0.78,8.52854455900592,8.28045513679566,8.10603766874804,7.87577698605893
79,0.79,8.70998610478756,8.44549469127591,8.24739746880162,7.97220443092656
80,0.8,8.82176522303085,8.56312247711197,8.35747224688857,8.05601871716792
81,0.81,8.88221828805997,8.64450527214712,8.44354321092573,8.12658727658561
82,0.82,8.92069926099416,8.70621239953275,8.51411631279156,8.18806019320822
83,0.83,8.96587217482396,8.7706636656985,8.57965172845906,8.24273638824364
84,0.84,9.04642681362941,8.84798300825605,8.6525464660498,8.29469283458216
85,0.85,9.17291322349058,8.95127864616135,8.73304797531524,8.34417372743254
86,0.86,9.34294010784761,9.07340283967156,8.8249967011349,8.39234923311043
87,0.87,9.53782049416829,9.21045890153617,8.91915593607027,8.43495475440225
88,0.88,9.73805973899202,9.34573699974887,9.00884850661509,8.47160637662238
89,0.89,9.92069943784482,9.46650283298188,9.08626476592698,8.49752636477574
90,0.9,10.0705135221641,9.56090411957963,9.14392442234659,8.50908764239981
91,0.91,10.1712194341293,9.62068943357071,9.17569435402747,8.50394731669679
92,0.92,10.2194471696877,9.64298613353897,9.17738037629836,8.48041771005937
93,0.93,10.209993696284,9.62179105706451,9.14704265887043,8.43762345572629
94,0.94,10.1446063793744,9.55779281315129,9.08493855857192,8.46871841652085
95,0.95,10.0292830498792,9.45769125362892,9.12270050158489,8.59673138092665
96,0.96,9.95969990048932,9.56672894583705,9.2339044720858,8.70634361725453
97,0.97,10.0214141881695,9.64244176367563,9.31747773209614,8.79847218967737
98,0.98,10.0462088468126,9.689062829098,9.38106827871722,8.87474226339512
99,0.99,10.0487558350747,9.71711397922195,9.42517221676902,8.93718708111869
100,1,10.0338252658845,9.72795170460951,9.45399252160356,8.98881123861985
101,1.02,9.97945512593584,9.72041700931772,9.48140116731662,9.06347314852492
102,1.04,9.92394370869157,9.69702288070883,9.48549619872225,9.10984694234307
103,1.06,9.87305340867594,9.66452350118094,9.47307502300954,9.13635346560589
104,1.08,9.80658916749099,9.61234584127319,9.43946320022944,9.14270064383642
105,1.1,9.6960808065889,9.52407109155506,9.37758153601882,9.13167717754417
106,1.12,9.52103757672668,9.39336433568153,9.28557210362439,9.1065339886441
107,1.14,9.28608457170527,9.22465692648846,9.17323275370721,9.07818143779208
108,1.16,9.02210375537402,9.04877554707586,9.06610975186225,9.0634446703735
109,1.18,8.80069297232832,8.92063615519272,9.00602079134082,9.08660663319105
110,1.2,8.72800300253953,8.91274104514238,9.04065941303086,9.1710531385526
111,1.22,8.89573031476447,9.07915347977884,9.20590775373891,9.33166403801521
112,1.24,9.30670502461292,9.42468347414771,9.50673281834632,9.57355705888939
113,1.26,9.89261714774728,9.9120820365967,9.9181977098131,9.88547469329525
114,1.28,10.5717894710347,10.483529958603,10.4047752827847,10.249714264433
115,1.3,11.2819615352886,11.0915283335773,10.9271274960764,10.6454883292429
116,1.32,11.9796743262401,11.6992857771078,11.4584121790186,11.0547227619831
117,1.34,12.6385656062551,12.2835021146324,11.9756865923839,11.4622914754043
118,1.36,13.2442025542872,12.8275187961353,12.4649594778035,11.8576891528512
119,1.38,13.7881467667583,13.3247990943929,12.9176772704381,12.2316092611368
120,1.4,14.2710327854428,13.7733048862668,13.3324720346916,12.5828106064564
121,1.42,14.6961845940909,14.1745083275642,13.7092047787869,12.9088416505841
122,1.44,15.0698386241452,14.5327432459846,14.0498455387117,13.2091349978008
123,1.46,15.400633943052,14.854269100774,14.3586937754933,13.4856219534631
124,1.48,15.6978789891177,15.1459474629819,14.6407139271047,13.7424825381064
125,1.5,15.9706063996974,15.4145452641406,14.9010007464863,13.9815810349752
126,1.52,16.2268364977518,15.6661738144467,15.1442995424948,14.204952253172
127,1.54,16.4730501462089,15.9058657430831,15.3746247565322,14.4150806243239
128,1.56,16.713861930018,16.1372890397043,15.5949583802448,14.6138312414866
129,1.58,16.9518561719507,16.3625727508687,15.807057535639,14.8022860171983
130,1.6,17.1876177515025,16.5822897156565,16.011445887761,14.9807786879149
131,1.62,17.4200134063391,16.7956649911043,16.2081172572144,15.1497533653248
132,1.64,17.6468087135987,17.0009397875446,16.3955870265924,15.3084186859055
133,1.66,17.8642317206731,17.1956795673722,16.5716129904815,15.4551128945152
134,1.68,18.0689935157234,17.3770400255267,16.7340595563748,15.5886305824367
135,1.7,18.2569606083409,17.5420311144064,16.8806745598963,15.7076961208482
136,1.72,18.4242907784707,17.6877537999325,17.0092758666676,15.8110810925457
137,1.74,18.5675132512893,17.8115959904292,17.1179072417817,15.8977105722019
138,1.76,18.6837237182969,17.9113903323927,17.2049665037451,15.9667389491814
139,1.78,18.770691059281,17.9854968561695,17.2694459698155,16.0175595328481
140,1.8,18.8268621763313,18.0327955516892,17.3110512227028,16.0497697883445
141,1.82,18.8518384500787,18.0537822214812,17.3286686328813,16.0631844903175
142,1.84,18.8470652057059,18.0477116113301,17.3222163915868,16.0578650801618
