floor,ew_max_accel,ns_max_accel,ew_max_disp,ns_max_disp
0,0.2382465,0.3370876,0,0
1,0.2451908,0.362815,2.23622047244094,0.418110236220472
2,Inf,Inf,Inf,Inf
3,0.2633009,Inf,4.12283464566929,Inf
4,Inf,Inf,Inf,Inf
5,Inf,Inf,Inf,Inf
6,0.3357008,0.5473429,6.23307086614173,2.41771653543307
