id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,0.243989967196822,0.244004783957177,0.243930347890759,0.243837727870211
2,0.02,0.243887768319321,0.243825677150546,0.243771084256088,0.243701908541407
3,0.03,0.244305602729836,0.244289455755903,0.244246236037155,0.244184077704493
4,0.04,0.245740056127721,0.245670726648959,0.245638870267674,0.245533021433069
5,0.05,0.245898852775452,0.243378311431799,0.242914234067077,0.244087788570837
6,0.06,0.254246674975346,0.252958373611152,0.252087633740754,0.250987130973057
7,0.07,0.277398996939316,0.279597393800296,0.278453243997589,0.27492133312931
8,0.08,0.363992409580751,0.346899696089411,0.332972806449896,0.311825714282442
9,0.09,0.321109014456859,0.316263796738815,0.311236555953439,0.301504870124213
10,0.1,0.295849861471884,0.302653688642401,0.299564288611781,0.296933441486851
11,0.11,0.377693821360016,0.35072813310576,0.331589389439306,0.304631330231663
12,0.12,0.546532513549368,0.491221636477409,0.457400051072006,0.417901299048996
13,0.13,0.567294805139428,0.529882787561087,0.502570760934934,0.461935105292269
14,0.14,0.471826299003823,0.477683264648663,0.47186873332607,0.452187512121373
15,0.15,0.464066598460397,0.457436045270835,0.449844319640933,0.434372973003528
16,0.16,0.390063077283753,0.390111665819902,0.402305793221311,0.411470943590427
17,0.17,0.585083935627629,0.516396204020648,0.480646290605077,0.443064894586759
18,0.18,0.420330731275872,0.408875548490049,0.4204867540365,0.42474941969122
19,0.19,0.433263591728999,0.42777870542196,0.425344025144248,0.423552089372649
20,0.2,0.451793331799172,0.442475208334282,0.441560409609448,0.440896245132464
21,0.21,0.539449994055624,0.512796079870083,0.49733425091051,0.475861535277863
22,0.22,0.576256105640293,0.535649011184986,0.510309447873564,0.48447335851019
23,0.23,0.561932237165083,0.488356602748077,0.44234633900674,0.453276550268842
24,0.24,0.792530295466303,0.673034270017763,0.597980814005407,0.527608107925595
25,0.25,0.870949299346764,0.807173247332466,0.752383648844524,0.677320175024368
26,0.26,1.14142142846628,0.935788603634607,0.877324217903967,0.784198561136875
27,0.27,1.29219599671985,1.01588289813184,0.958980975459636,0.8552948534357
28,0.28,1.20539744803158,1.10725669251227,1.02574797843213,0.899718165128823
