id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,17.3702131948912,17.369548960508,17.3688367257227,17.3670673800929
3,0.03,17.3772739784332,17.3767165485646,17.374560363961,17.3704413119536
4,0.04,17.3625838521233,17.3619899373406,17.3618056615814,17.3617793011259
5,0.05,17.3625462829158,17.3627229823601,17.3628312472832,17.3629638170809
6,0.06,17.371986136757,17.3710231093498,17.3703712458367,17.3696509303739
7,0.07,17.3839321690302,17.3825256567787,17.3818304366457,17.3810585295128
8,0.08,17.3960036844903,17.3963790376906,17.3965584991356,17.3963124122806
9,0.09,17.4357725367328,17.4318873590391,17.429673200438,17.4286551453299
10,0.1,17.4394808585683,17.4463433242687,17.4494605987981,17.4519206663019
11,0.11,17.5288745794562,17.5182400084623,17.5093959239184,17.4959606078704
12,0.12,17.5334198500301,17.534905475431,17.5295970570255,17.5181139090652
13,0.13,17.5113317781155,17.4951985396217,17.4856807700982,17.4793865185343
14,0.14,17.4435400484973,17.4362741318799,17.4415581941987,17.4584470923527
15,0.15,17.5335473350005,17.529841375766,17.528905465625,17.5290671415766
16,0.16,17.6772740680908,17.6564051085959,17.6415316601666,17.6229869358087
17,0.17,17.6410660214859,17.6620463892871,17.6765754404415,17.6907945913409
18,0.18,17.8497334060749,17.8368210187816,17.8250506404744,17.8078184836742
19,0.19,18.0711367678975,18.0333832445627,18.0104872284572,17.9646363637543
20,0.2,18.1801882131544,18.1519653824644,18.1210225307613,18.0700962047479
21,0.21,18.1976355470939,18.1954341358051,18.1885056034145,18.159315873709
22,0.22,18.4195835645619,18.392510635898,18.3600791747511,18.2869018402039
23,0.23,18.763980844662,18.6688765451931,18.5842471391423,18.4425791559658
24,0.24,18.9331182295662,18.8146733012953,18.7031181065462,18.5170990439156
25,0.25,19.0145376063702,18.8296833195739,18.68078464729,18.4657536090658
26,0.26,18.7009827383264,18.5193201317726,18.3803420260818,18.2375701178667
27,0.27,17.9001507333821,17.8484375623143,17.8374475333544,17.8873269418921
28,0.28,17.4251559694572,17.3259772253513,17.3939204889715,17.7005989213507
29,0.29,18.4689706981343,18.2524039402905,18.1269760106311,18.0695213673943
30,0.3,19.3981706554474,19.0824969107621,18.869956802812,18.5966520152583
31,0.31,20.0032648004292,19.6656559553694,19.3983369031907,19.0026813464005
32,0.32,20.3247571959438,19.9531312703557,19.6603447148118,19.2296369971646
33,0.33,20.2043397590756,19.9122585645073,19.6578714707581,19.2592023062051
34,0.34,19.9856699665183,19.6956407711618,19.4618508134488,19.1361152600545
35,0.35,19.4543583145342,19.2540867312562,19.0960120690241,18.9007861230452
36,0.36,18.7021536226822,18.6184477015301,18.625031005875,18.6221676986424
37,0.37,18.2089200298195,18.1248704470001,18.2749972156002,18.4494644022152
38,0.38,18.0737932829397,18.2237185514542,18.3420049982964,18.4751126728504
39,0.39,18.7964554284061,18.7409963182696,18.7080342983234,18.6583242171627
40,0.4,19.4839059297733,19.2629040219227,19.0939880877392,18.8748032289844
41,0.41,20.5740951201621,19.5474653833345,19.3194420876088,19.0060303152021
42,0.42,20.9829769631187,19.6376377741487,19.3415971134651,19.0275940502651
43,0.43,22.9451472450004,21.6076783417588,20.5850144644603,19.2383051589238
44,0.44,24.9142695726813,23.5389060369452,22.3679760050048,20.6578237328985
45,0.45,26.5593950967009,24.9767229606389,23.7203793128749,21.7796627549694
46,0.46,27.2025484049456,25.7660532452378,24.5446917652554,22.6148123830381
47,0.47,27.1436785151444,26.1107131076336,25.0797067684041,23.2076081924489
48,0.48,28.4724319899286,26.8214181448212,25.6151962417227,23.6458171734167
49,0.49,31.8329136539266,29.5613294745871,27.6101362944239,24.6400518528586
50,0.5,34.9054124530197,31.9661370462034,29.6048811066047,26.1530071560529
51,0.51,36.5064882673438,33.3390920646132,30.8660166423445,27.2350168610631
52,0.52,36.1813790799412,33.4532938647031,31.2618507053316,27.9148679608655
53,0.53,34.5629380121205,32.6451092970544,31.0168754671992,28.2435257352509
54,0.54,32.659845249457,31.6538919277695,30.604231455104,28.4816876419628
55,0.55,31.3531122489098,31.1160568933163,30.540048972842,28.8455615375798
56,0.56,31.6985189144482,31.6444226728969,31.1802630088365,29.5246109642837
57,0.57,34.2710754691014,33.5986319656441,32.6764781514034,30.5437034125105
58,0.58,38.3097172422345,36.4680227910456,34.8031042084285,31.8000210194889
59,0.59,42.4298610239927,39.5133932317333,37.0483010205976,33.0942718517605
60,0.6,45.7983443308127,42.0719821670472,39.0349313336954,34.3036705092703
61,0.61,48.0538962741551,43.8821536640895,40.4941931616107,35.2053089046223
62,0.62,49.2401235991381,44.9170240903008,41.3657435536834,35.8276775281909
63,0.63,49.5430151530877,45.2834632281874,41.7008665766508,36.0930660046881
64,0.64,49.1963358530915,45.114637037546,41.6360674360817,36.0913196965391
65,0.65,48.4078184891304,44.5442429455834,41.2147619762351,35.8429142559838
66,0.66,47.3125616812695,43.6769577133118,40.5161339635856,35.3711822070898
67,0.67,45.9876956098645,42.5870593785316,39.6369061822843,34.7836704578156
68,0.68,44.5083842636667,41.4144914503181,38.6540862667786,34.0336539551079
69,0.69,43.089525872247,40.178547930739,37.5605538083864,33.2315555373381
70,0.7,41.7205307975163,38.9504215551299,36.469593728432,32.3174298438498
71,0.71,40.5020613671429,37.7299241047553,35.2827758521606,31.3318769003378
72,0.72,39.2494540893193,36.4192556056618,34.0308925407887,30.2515538380202
73,0.73,38.384274845499,34.9309744448034,32.5747389269289,29.0416390389039
74,0.74,36.5818729159431,33.1072419067571,30.9170406589323,27.7141727668812
75,0.75,33.9775706055578,30.9365209770262,28.9806068766256,26.2803705497465
76,0.76,30.891334446062,28.3913414081818,26.8138740238892,24.7585142846951
77,0.77,28.3232361327292,25.5574578696839,24.8500778050963,24.0787350997177
78,0.78,27.7161498318134,25.3439096126562,24.916874905353,24.1542591604286
79,0.79,26.0780369022419,25.3792173342349,24.9651120231362,24.2180518352959
80,0.8,25.8228930891398,25.3929274048372,24.9910423805814,24.2631904482243
81,0.81,25.8043701502392,25.3877451770992,24.9970741678553,24.2876586723005
82,0.82,25.7818181391139,25.3788462341525,25.0005862581117,24.3088507325498
83,0.83,25.7384017674907,25.3505274905429,24.9854509167853,24.3148566075162
