id,model_id,story_group_id,y_offset,story_ht,story_dead_load,story_live_load
1,2,1,0,174,2200,137.5
2,2,2,174,162,2325,137.5
3,2,3,336,162,2325,137.5
4,2,3,498,162,2325,137.5
5,2,3,660,162,2325,137.5
6,2,3,822,158,1900,137.5
