id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
118,8,2,1,300,105,0,300,158,0,0
119,8,2,1,600,105,0,600,158,0,0
120,8,2,1,900,105,0,900,158,0,0
121,8,2,1,1200,105,0,1200,158,0,0
122,8,2,1,1500,105,0,1500,158,0,0
123,8,11,2,9,158,0,291,158,0,95
124,8,11,2,309,158,0,597,158,0,95
125,8,11,2,609,158,0,891,158,0,95
126,8,11,2,909,158,0,1191,158,0,95
127,8,11,2,1209,158,0,1491,158,0,95
128,8,2,2,0,158,0,9,158,0,0
129,8,2,2,300,158,0,309,158,0,0
130,8,2,2,600,158,0,609,158,0,0
131,8,2,2,900,158,0,909,158,0,0
132,8,2,2,1200,158,0,1209,158,0,0
133,8,2,2,291,158,0,300,158,0,0
134,8,2,2,597,158,0,600,158,0,0
135,8,2,2,891,158,0,900,158,0,0
136,8,2,2,1191,158,0,1200,158,0,0
137,8,2,2,1491,158,0,1500,158,0,0
138,8,1,2,1500,158,0,1600,158,0,0
139,8,6,1,1600,0,0,1600,125,0,0
140,8,6,1,1900,0,0,1900,125,0,0
141,8,6,1,2200,0,0,2200,125,0,0
142,8,6,1,2500,0,0,2500,125,0,0
143,8,6,1,2800,0,0,2800,125,0,0
144,8,6,1,3100,0,0,3100,125,0,0
145,8,2,1,1600,125,0,1600,158,0,0
146,8,2,1,1900,125,0,1900,158,0,0
147,8,2,1,2200,125,0,2200,158,0,0
148,8,2,1,2500,125,0,2500,158,0,0
149,8,2,1,2800,125,0,2800,158,0,0
150,8,2,1,3100,125,0,3100,158,0,0
151,8,9,2,1612,158,0,1888,158,0,95
152,8,9,2,1912,158,0,2188,158,0,95
153,8,9,2,2212,158,0,2488,158,0,95
154,8,9,2,2512,158,0,2788,158,0,95
155,8,9,2,2812,158,0,3088,158,0,95
156,8,2,2,1600,158,0,1612,158,0,0
157,8,2,2,1900,158,0,1912,158,0,0
158,8,2,2,2200,158,0,2212,158,0,0
159,8,2,2,2500,158,0,2512,158,0,0
160,8,2,2,2800,158,0,2812,158,0,0
161,8,2,2,1888,158,0,1900,158,0,0
162,8,2,2,2188,158,0,2200,158,0,0
163,8,2,2,2488,158,0,2500,158,0,0
164,8,2,2,2788,158,0,2800,158,0,0
165,8,2,2,3088,158,0,3100,158,0,0
