sa_x,sa_z,max_drift_x,max_drift_z
0.0875,0.22,0.000837253333333333,2.50216666666667e-05
0.175,0.44,0.00161619166666667,4.656475e-05
0.35,0.88,0.0030524,8.83916666666667e-05
0.525,1.32,0.004956975,0.000125875
0.7,1.76,0.007843225,0.000160485833333333
1.05,2.64,0.0153263333333333,0.000224290833333333
