id,element_type,hinge_side,building_name,member_id,gather_test_data,run_p58,joint_id,system_type,story,description,earthquake_name,units
33,column,2,ICSB,c-1G3-top,1,1,j-1G3,1,1,NA,1979 Imperial Valley,1
34,column,2,ICSB,c-1B4-top,1,1,j-1B4,1,1,NA,1979 Imperial Valley,1
36,column,2,ICSB,c-1C4-top,1,1,j-1C4,1,1,NA,1979 Imperial Valley,1
38,column,2,ICSB,c-1D4-top,1,1,j-1D4,1,1,NA,1979 Imperial Valley,1
40,column,2,ICSB,c-1E4-top,1,1,j-1E4,1,1,NA,1979 Imperial Valley,1
42,column,2,ICSB,c-1F4-top,1,1,j-1F4,1,1,NA,1979 Imperial Valley,1
44,column,2,ICSB,c-1G4-top,1,1,j-1G4,1,1,NA,1979 Imperial Valley,1
49,column,1,ICSB,c-2B1-base,0,1,j-1B1,1,2,NA,1979 Imperial Valley,1
51,column,1,ICSB,c-2C1-base,0,1,j-1C1,1,2,NA,1979 Imperial Valley,1
53,column,1,ICSB,c-2D1-base,0,1,j-1D1,1,2,NA,1979 Imperial Valley,1
55,column,1,ICSB,c-2E1-base,0,1,j-1E1,1,2,NA,1979 Imperial Valley,1
57,column,1,ICSB,c-2F1-base,0,1,j-1F1,1,2,NA,1979 Imperial Valley,1
59,column,1,ICSB,c-2G1-base,0,1,j-1G1,1,2,NA,1979 Imperial Valley,1
60,column,1,ICSB,c-2B2-base,0,1,j-1B2,1,2,NA,1979 Imperial Valley,1
62,column,1,ICSB,c-2C2-base,0,1,j-1C2,1,2,NA,1979 Imperial Valley,1
64,column,1,ICSB,c-2D2-base,0,1,j-1D2,1,2,NA,1979 Imperial Valley,1
66,column,1,ICSB,c-2E2-base,0,1,j-1E2,1,2,NA,1979 Imperial Valley,1
68,column,1,ICSB,c-2F2-base,0,1,j-1F2,1,2,NA,1979 Imperial Valley,1
70,column,1,ICSB,c-2G2-base,0,1,j-1G2,1,2,NA,1979 Imperial Valley,1
71,column,1,ICSB,c-2B3-base,0,1,j-1B3,1,2,NA,1979 Imperial Valley,1
73,column,1,ICSB,c-2C3-base,0,1,j-1C3,1,2,NA,1979 Imperial Valley,1
75,column,1,ICSB,c-2D3-base,0,1,j-1D3,1,2,NA,1979 Imperial Valley,1
77,column,1,ICSB,c-2E3-base,0,1,j-1E3,1,2,NA,1979 Imperial Valley,1
79,column,1,ICSB,c-2F3-base,0,1,j-1F3,1,2,NA,1979 Imperial Valley,1
81,column,1,ICSB,c-2G3-base,0,1,j-1G3,1,2,NA,1979 Imperial Valley,1
82,column,1,ICSB,c-2B4-base,0,1,j-1B4,1,2,NA,1979 Imperial Valley,1
84,column,1,ICSB,c-2C4-base,0,1,j-1C4,1,2,NA,1979 Imperial Valley,1
