id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6083,1642,336,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,2,0,0,[000000]
6084,71,498,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,3,1,0,[000000]
6085,371,498,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6086,671,498,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6087,971,498,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6088,1271,498,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6089,1571,498,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,3,0,0,[000000]
6090,71,498,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6091,371,498,300,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6092,671,498,300,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6093,971,498,300,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6094,1271,498,300,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6095,1571,498,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6096,71,498,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6097,371,498,600,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6098,671,498,600,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6099,971,498,600,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6100,1271,498,600,147994.907702101,8147.67663908339,383.406496637566,1,1,3,0,0,[000000]
6101,1571,498,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6102,71,498,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,3,0,0,[000000]
6103,371,498,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6104,671,498,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6105,971,498,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6106,1271,498,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,3,0,0,[000000]
6107,1571,498,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,3,0,0,[000000]
6108,0,498,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,3,0,0,[000000]
6109,1642,498,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,3,0,0,[000000]
6110,71,660,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,4,1,0,[000000]
6111,371,660,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6112,671,660,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6113,971,660,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6114,1271,660,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6115,1571,660,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,4,0,0,[000000]
6116,71,660,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6117,371,660,300,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6118,671,660,300,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6119,971,660,300,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6120,1271,660,300,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6121,1571,660,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6122,71,660,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6123,371,660,600,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6124,671,660,600,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6125,971,660,600,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6126,1271,660,600,147994.907702101,8147.67663908339,383.406496637566,1,1,4,0,0,[000000]
6127,1571,660,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6128,71,660,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,4,0,0,[000000]
6129,371,660,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6130,671,660,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6131,971,660,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6132,1271,660,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,4,0,0,[000000]
6133,1571,660,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,4,0,0,[000000]
6134,0,660,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,4,0,0,[000000]
6135,1642,660,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,4,0,0,[000000]
6136,71,822,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,5,1,0,[000000]
6137,371,822,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6138,671,822,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6139,971,822,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6140,1271,822,0,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6141,1571,822,0,36998.7269255251,2036.91915977085,95.8516241593915,1,1,5,0,0,[000000]
6142,71,822,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6143,371,822,300,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6144,671,822,300,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6145,971,822,300,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6146,1271,822,300,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6147,1571,822,300,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6148,71,822,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6149,371,822,600,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6150,671,822,600,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6151,971,822,600,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6152,1271,822,600,147994.907702101,8147.67663908339,383.406496637566,1,1,5,0,0,[000000]
6153,1571,822,600,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6154,71,822,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,5,0,0,[000000]
6155,371,822,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
