id,description,col_id,beam_id,wall_id,num_bays
1,interior story 1,6,12,0,5
2,interior story 2,7,16,0,5
3,interior story 3,8,16,0,5
4,interior story 4-6,9,16,0,5
5,exterior story 1,10,13,0,5
6,exterior story 2-5,11,14,0,5
7,exterior story 6,11,15,0,5
8,"first story walls B,D,F",0,0,18,1
9,first story wall E,0,0,19,1
10,second story walls,0,0,20,1
11,upper story walls,0,0,21,1
