id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,29.5714315503152,29.5711112975671,29.5705507695522,29.5695567650652
3,0.03,29.5723575745736,29.5758004122395,29.5761018905705,29.5749541696055
4,0.04,29.5685090558277,29.568458006291,29.5683294560265,29.5681377149829
5,0.05,29.5696714125553,29.5696826095254,29.569797042001,29.5700370224736
6,0.06,29.5732023861163,29.5731444261033,29.5732985193665,29.5735260514173
7,0.07,29.5775122588773,29.5791634990468,29.5796826617864,29.5799540572972
8,0.08,29.5860421811847,29.5882065732629,29.5887489773323,29.5891958529349
9,0.09,29.5948554757833,29.6043189180268,29.6048687767988,29.6057000397586
10,0.1,29.6941203875481,29.6701550665971,29.656981701532,29.641050545844
11,0.11,29.612580994711,29.6069363313489,29.6094923657412,29.6152607170738
12,0.12,29.6000690863533,29.632034711247,29.6343117885938,29.6359881991103
13,0.13,29.6567689533626,29.6820403218739,29.6804344355874,29.676125963951
14,0.14,29.7111519495664,29.7233368787055,29.7136142716989,29.7044544406819
15,0.15,29.7427555658679,29.7542292229805,29.7569355615925,29.7528118194928
16,0.16,29.9871636361697,29.9466790631547,29.8935422769056,29.8261771860928
17,0.17,29.7667277018513,29.7497540030521,29.7551652041336,29.7613831418786
18,0.18,29.8828633847572,29.7898345488952,29.7810184525719,29.7774192304562
19,0.19,30.2316200765179,30.021846603894,29.9442685634725,29.8556321945886
20,0.2,30.0673690934986,29.9570223477151,29.8760978656227,29.7766866066388
21,0.21,29.9029739946553,29.6502424165586,29.5566733494773,29.5491371389733
22,0.22,30.1183076357186,30.004600460486,29.9084070802082,29.7852041663257
23,0.23,30.2472678543429,30.2453457206436,30.1503077779357,29.9942572385493
24,0.24,30.2756400313221,30.2666252414658,30.191731486157,30.0660740181492
25,0.25,30.0878852988661,30.0856443141006,30.0610496107533,30.0190444581312
26,0.26,29.8450481681001,29.8551099578139,29.9104359661226,29.9791519530627
