id,description,col_id,beam_id,wall_id,num_bays,trib_wt_1,trib_wt_2
1,interior story 1,"[26,26,26,26]","[12,12,12]","[0,0,0]",3,"[0.375,0.375,0.375]","[0.5,0.375,0.5]"
2,interior story 2,"[7,7,7,7]","[16,16,16]","[0,0,0]",3,"[0.5,0.5,0.5]","[0.5,0.5,0.5]"
3,interior story 3,"[8,8,8,8]","[16,16,16]","[0,0,0]",3,"[0.5,0.5,0.5]","[0.5,0.5,0.5]"
4,interior story 4-6,"[9,9,9,9]","[16,16,16]","[0,0,0]",3,"[0.5,0.5,0.5]","[0.5,0.5,0.5]"
5,exterior story 1,"[27,28,28,27]","[13,13,13]","[0,0,0]",3,"[0.25,0.25,0.25]","[0.25,0.25,0.25]"
6,exterior story 2-5,"[11,11,11,11]","[14,14,14]","[0,0,0]",3,"[0.25,0.25,0.25]","[0.25,0.25,0.25]"
7,exterior story 6,"[11,11,11,11]","[15,15,15]","[0,0,0]",3,"[0.25,0.25,0.25]","[0.25,0.25,0.25]"
