id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,18.9293813095116,18.9296229799659,18.9290554242909,18.9275284860402
3,0.03,18.9326674007202,18.9350678420593,18.9343423343839,18.9316320013948
4,0.04,18.924686813978,18.9240483112247,18.9239281713455,18.9242771368383
5,0.05,18.9247899248043,18.9246610015631,18.9248035751006,18.9250561435635
6,0.06,18.9321445999456,18.9316389396364,18.9312512518055,18.9308214294997
7,0.07,18.9380925909327,18.936525545912,18.9357680380309,18.9354882171137
8,0.08,18.9514100141907,18.9496794569623,18.949020775726,18.9486432527308
9,0.09,18.9713013158278,18.9694282812555,18.9692509930452,18.9699740578594
10,0.1,19.0201402140615,19.0125508917459,19.0074492474474,19.0004446349383
11,0.11,18.9996914917101,19.0069291488153,19.0096594641324,19.010017631881
12,0.12,19.0076632426478,18.99316679553,18.9952308612373,19.0011912109155
13,0.13,18.9674769527724,18.9967720262162,19.0118651614324,19.0264332706226
14,0.14,19.1923684548261,19.154981544002,19.1347646154504,19.1130079095601
15,0.15,19.1649492780003,19.1495711356293,19.1456013250265,19.1425755736602
16,0.16,19.2262941829444,19.220673801407,19.2129053097328,19.1990940121775
17,0.17,19.2342349085752,19.2395820395679,19.2439106639002,19.2429459168368
18,0.18,19.3853234960055,19.3569178094505,19.3373386115103,19.3161926994755
19,0.19,19.4250126245499,19.4217363598072,19.4119750922171,19.3890963739878
20,0.2,19.4636401024615,19.4694002863493,19.4663738970865,19.4475991718437
21,0.21,19.637195714759,19.6065489320146,19.5793474246333,19.54080579528
22,0.22,19.8136647712535,19.7591757031386,19.7143646139955,19.6366842564751
23,0.23,19.9262753618526,19.8624369121429,19.8051165132779,19.7059890139284
24,0.24,19.9864081985468,19.9129082225823,19.8437619243191,19.7256879451935
25,0.25,19.987975488347,19.9003277219379,19.8175373757763,19.682109692388
26,0.26,20.593816890574,19.7869581097757,19.6839694911412,19.5453779703344
27,0.27,19.5161321672527,19.3917394154663,19.3332886134228,19.2982682027778
28,0.28,19.0061808096939,18.8438322598791,18.8627909374029,19.0649169656047
29,0.29,19.5602067050564,19.3748853250193,19.2634897621943,19.2205244117628
30,0.3,20.0123844917823,19.8275571349481,19.6950559566405,19.5475729622505
31,0.31,20.38635633689,20.1334390771109,19.9817141763171,19.7819584276761
32,0.32,20.4132747018955,20.2344215480777,20.0949524006262,19.8911411047132
33,0.33,20.2600069837319,20.1570952758308,20.0590177661981,19.8974473118263
34,0.34,20.1908857713872,20.0321697081119,19.9538734432327,19.8386370706331
