id,story_group_id,story_ht,story_dead_load,story_live_load,bay_length_x,bay_length_z,story_start_x,story_start_z
1,1,174,880000,51200,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
2,2,162,930000,51200,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
3,3,162,930000,51200,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
4,4,162,930000,51200,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
5,4,162,930000,51200,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
6,5,158,760000,20400,"[300, 300, 300, 300, 100, 300, 300, 300, 300]",[0],0,0
